Title: Bounty Paper Towel Commercial - Anniversary (CA ENG :30s)

Time Frame 	Character 	  Dialogue 
0:01	      husband 	    to <#>50</#> years with my best friend 
0:05	      husband 	    and my soulmate 
0:11	      husband 	    <&>ahh</&>
0:13	      everyone 	    <&>noooooo</&>
0:15	      narrator	   quick the quicker picker upper 
0:18	      narrator	   when you gotta get it done
0:19	      narrator	   <#>one</#> sheet is all you need  
0:20	      narrator	   and Bounty is <#>50</#> more absorbent so you can use less and get the job done with one 
0:24	      wife	       you've got a bit of your face on your face 
0:27	      narrator	   Bounty 
0:28	      narrator	   the quicker picker upper
